Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status,Place,Year
1989-01-07 00:00:00,07:26:11,-23.258000000000003,-68.41,Earthquake,121.6,nan,nan,5.6,MW,nan,nan,nan,nan,nan,1.2,USP0003QM2,US,US,HRV,Reviewed,"San Pedro de Atacama, CL",1989
1989-01-15 00:00:00,03:19:51,-31.75,-71.847,Earthquake,49.9,6.7,nan,5.6,MS,nan,1.0,nan,nan,nan,1.2,USP0003QW1,US,US,US,Reviewed,"Canela Baja, CL",1989
1989-02-07 00:00:00,04:03:00,-22.087,-67.223,Earthquake,179.5,nan,nan,5.5,MW,nan,nan,nan,nan,nan,0.8,USP0003RMV,US,US,HRV,Reviewed,"San Pedro de Atacama, CL",1989
1989-04-05 00:00:00,23:47:49,-20.857,-69.028,Earthquake,112.0,nan,nan,6.2,MW,nan,nan,nan,nan,nan,1.1,USP0003TN3,US,US,HRV,Reviewed,"Pica, CL",1989
1989-04-08 00:00:00,00:24:33,-32.012,-71.545,Earthquake,72.4,9.8,nan,5.5,MB,nan,15.0,nan,nan,nan,1.0,USP0003TQQ,US,US,US,Reviewed,"Quinquimo, CL",1989
1989-04-13 00:00:00,00:43:11,-39.533,-75.002,Earthquake,33.0,nan,nan,5.8,MW,nan,nan,nan,nan,nan,1.0,USP0003TWH,US,US,HRV,Reviewed,"Corral, CL",1989
1989-05-29 00:00:00,22:22:31,-23.897,-70.337,Earthquake,32.0,nan,nan,5.6,MW,nan,nan,nan,nan,nan,1.1,USP0003VSU,US,US,HRV,Reviewed,"Antofagasta, CL",1989
1989-06-17 00:00:00,18:28:09,-40.494,-74.67399999999999,Earthquake,33.0,nan,nan,5.6,MW,nan,nan,nan,nan,nan,1.2,USP0003WC9,US,US,HRV,Reviewed,"Corral, CL",1989
1989-06-19 00:00:00,16:00:48,-22.113000000000003,-67.559,Earthquake,188.5,nan,nan,5.7,MW,nan,nan,nan,nan,nan,1.1,USP0003WEF,US,US,HRV,Reviewed,"San Pedro de Atacama, CL",1989
1989-09-14 00:00:00,04:42:40,-26.141,-70.74600000000001,Earthquake,33.0,nan,nan,5.5,MW,nan,nan,nan,nan,nan,1.3,USP0003ZJ9,US,US,HRV,Reviewed,"Chañaral, CL",1989
1989-12-30 00:00:00,12:38:11,-26.209,-70.507,Earthquake,32.1,7.0,nan,5.5,MW,nan,nan,nan,nan,nan,1.2,USP00043RM,US,US,HRV,Reviewed,"Chañaral, CL",1989
